device_id,facility,date,pm1,pm2_5,pm10
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-11,22.2331,26.3219,38.7088
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-10,29.4942,33.6887,45.5922
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-09,114.8268,130.8942,159.2849
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-08,74.5465,87.307,109.843
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-07,35.4843,40.6797,56.2156
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-06,79.1587,90.2314,111.4309
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-05,99.1648,114.5459,142.7546
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-04,24.3625,28.2801,40.5197
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-03,87.4927,102.4752,128.7332
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-02,71.8718,82.4581,104.0097
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-01,25.2381,29.0859,42.1974
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-31,123.6293,138.4109,171.9089
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-30,126.3244,140.4301,173.6335
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-29,127.7575,142.2398,177.4556
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-28,75.3862,82.7473,105.4359
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-27,97.1738,109.8494,138.0818
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-26,131.7393,146.7289,182.4455
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-25,105.2446,116.5269,144.8559
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-24,167.1719,189.8499,233.338
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-23,128.1533,143.1005,176.6512
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-22,191.1214,220.7727,274.9816
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-21,142.1157,161.3974,203.4648
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-20,113.38,127.8991,164.2131
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-19,50.7078,56.9968,79.8766
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-18,44.943,50.9192,71.8844
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-17,36.3087,40.9083,58.5645
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-16,24.0557,27.8258,39.0913
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-15,58.1888,66.0574,87.9081
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-14,49.4973,54.6888,74.49
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-13,48.7165,53.7792,75.5597
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-12,34.7464,39.0583,55.7477
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-11,29.1692,32.9005,46.9532
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-10,40.7539,45.2353,60.6125
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-09,128.9795,144.9408,177.9878
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-08,73.0461,82.7291,107.019
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-07,44.7228,50.0689,69.4365
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-06,76.8101,85.8567,110.1384
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-05,93.4908,104.3362,131.8176
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-04,30.2874,33.5961,47.4349
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-03,102.2209,114.9008,146.5182
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-02,69.5456,76.5585,97.8536
0CDC7E3DC33C,prehrambeno-ugostiteljska-skola-cacak,2022-12-01,32.8865,35.956,51.1791
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-31,156.6549,189.5525,247.9732
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-30,142.5,170.2256,220.4162
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-29,117.0381,138.114,180.3365
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-28,92.1369,107.415,141.8372
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-27,96.2607,112.2179,146.9155
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-26,135.9671,162.6172,212.9833
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-25,108.898,128.0569,168.5144
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-24,187.862,225.4788,287.8872
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-23,146.2148,175.2057,228.7775
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-22,142.2785,172.877,227.9182
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-21,129.1237,157.5636,212.8297
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-20,86.0214,103.8058,142.1098
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-19,57.3837,69.0138,97.5073
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-18,46.9828,56.4811,82.569
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-17,33.5588,40.2871,59.9096
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-16,21.3443,25.4329,37.6108
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-15,50.3792,60.1226,85.7484
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-14,42.322,48.7406,69.1491
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-13,41.7457,48.9779,71.3094
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-12,33.9781,40.617,60.2784
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-11,25.2456,30.7544,46.2654
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-10,22.5093,26.918,39.385
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-09,34.1638,40.7611,57.2882
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-08,64.4059,76.6442,104.3761
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-07,51.2696,59.6457,84.1783
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-06,79.3173,91.9725,122.6959
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-05,87.5396,104.5341,140.1773
